Comp,Att,Pct,Yds,TD,Int,Class
29.0,54.0,53.7,308.0,2.0,1.0,Over
25.0,40.0,62.5,349.0,0.0,0.0,Under
30.0,43.0,69.8,173.0,2.0,2.0,Over
22.0,32.0,68.8,241.0,0.0,1.0,Under
20.0,32.0,62.5,253.0,0.0,0.0,Over
27.0,37.0,73.0,340.0,3.0,0.0,Over
14.0,21.0,66.7,104.0,0.0,0.0,Under
19.0,33.0,57.6,220.0,0.0,0.0,Under
17.0,24.0,70.8,241.0,2.0,0.0,Over
27.0,44.0,61.4,324.0,3.0,1.0,Over
24.0,33.0,72.7,150.0,2.0,0.0,Over
19.0,34.0,55.9,163.0,0.0,1.0,Under
20.0,30.0,66.7,194.0,2.0,3.0,Under
19.0,25.0,76.0,219.0,1.0,1.0,Over
11.0,18.0,61.1,118.0,1.0,0.0,Under
33.0,46.0,71.7,304.0,2.0,2.0,Under
27.0,43.0,62.8,320.0,3.0,3.0,Under
29.0,34.0,85.3,304.0,3.0,1.0,Over
35.0,53.0,66.0,397.0,0.0,0.0,Under
32.0,46.0,69.6,330.0,3.0,1.0,Over
30.0,36.0,83.3,356.0,4.0,0.0,Over
16.0,27.0,59.3,159.0,0.0,1.0,Under
20.0,35.0,57.1,182.0,2.0,1.0,Under
21.0,31.0,67.7,311.0,1.0,0.0,Under
23.0,46.0,50.0,271.0,0.0,1.0,Over
35.0,50.0,70.0,312.0,2.0,2.0,Under
20.0,34.0,58.8,313.0,2.0,0.0,Over
25.0,39.0,64.1,210.0,2.0,0.0,Over
32.0,45.0,71.1,384.0,1.0,2.0,Under
17.0,20.0,85.0,324.0,5.0,0.0,Over
24.0,37.0,64.9,272.0,2.0,0.0,Under
22.0,43.0,51.2,267.0,0.0,0.0,Over
24.0,34.0,70.6,247.0,3.0,2.0,Over
19.0,28.0,67.9,161.0,1.0,3.0,Over
21.0,33.0,63.6,236.0,0.0,0.0,Under
9.0,20.0,45.0,143.0,0.0,0.0,Under
17.0,23.0,73.9,163.0,1.0,0.0,Over
15.0,17.0,88.2,223.0,3.0,0.0,Over
17.0,24.0,70.8,222.0,4.0,0.0,Under
15.0,20.0,75.0,169.0,5.0,0.0,Over
14.0,23.0,60.9,105.0,1.0,0.0,Under
16.0,25.0,64.0,145.0,3.0,1.0,Under
15.0,23.0,65.2,212.0,5.0,0.0,Over
20.0,31.0,64.5,238.0,3.0,0.0,Under
24.0,37.0,64.9,254.0,1.0,2.0,Under
19.0,30.0,63.3,253.0,1.0,0.0,Under
23.0,36.0,63.9,243.0,1.0,1.0,Under
13.0,28.0,46.4,153.0,0.0,3.0,Under
23.0,32.0,71.9,219.0,2.0,1.0,Under
16.0,26.0,61.5,202.0,2.0,0.0,Over
16.0,34.0,47.1,169.0,2.0,0.0,Over
14.0,20.0,70.0,160.0,1.0,0.0,Under
22.0,41.0,53.7,266.0,0.0,0.0,Under
21.0,33.0,63.6,256.0,3.0,0.0,Over
15.0,25.0,60.0,185.0,2.0,1.0,Under
19.0,24.0,79.2,231.0,1.0,0.0,Under
17.0,39.0,43.6,146.0,1.0,0.0,Under
13.0,25.0,52.0,139.0,1.0,1.0,Under
13.0,26.0,50.0,208.0,2.0,0.0,Over
19.0,26.0,73.1,261.0,4.0,0.0,Over
24.0,34.0,70.6,232.0,0.0,0.0,Under
17.0,30.0,56.7,181.0,1.0,0.0,Over
20.0,32.0,62.5,227.0,2.0,0.0,Over
19.0,37.0,51.4,158.0,0.0,3.0,Over
17.0,32.0,53.1,232.0,2.0,1.0,Over
28.0,43.0,65.1,307.0,1.0,1.0,Under
31.0,50.0,62.0,325.0,0.0,4.0,Under
23.0,36.0,63.9,256.0,3.0,0.0,Over
27.0,46.0,58.7,278.0,2.0,1.0,Over
28.0,41.0,68.3,293.0,1.0,2.0,Over
25.0,41.0,61.0,277.0,1.0,3.0,Over
26.0,45.0,57.8,228.0,0.0,1.0,Under
16.0,27.0,59.3,120.0,0.0,0.0,Under
25.0,31.0,80.6,231.0,3.0,1.0,Over
2.0,3.0,66.7,9.0,0.0,0.0,Under
34.0,54.0,63.0,251.0,2.0,0.0,Over
23.0,35.0,65.7,253.0,0.0,1.0,Under
10.0,21.0,47.6,125.0,0.0,0.0,Under
16.0,23.0,69.6,173.0,3.0,0.0,Under
24.0,43.0,55.8,190.0,1.0,1.0,Under
25.0,41.0,61.0,278.0,1.0,2.0,Under
29.0,38.0,76.3,338.0,3.0,1.0,Over
23.0,31.0,74.2,244.0,3.0,1.0,Over
29.0,53.0,54.7,334.0,1.0,2.0,Under
18.0,34.0,52.9,157.0,0.0,0.0,Under
35.0,51.0,68.6,418.0,2.0,0.0,Under
26.0,42.0,61.9,311.0,2.0,1.0,Over
20.0,36.0,55.6,250.0,1.0,2.0,Under
21.0,37.0,56.8,171.0,0.0,1.0,Under
27.0,38.0,71.1,262.0,2.0,0.0,Over
21.0,39.0,53.8,235.0,0.0,1.0,Under
32.0,52.0,61.5,329.0,1.0,0.0,Under
22.0,37.0,59.5,243.0,1.0,0.0,Under
22.0,38.0,57.9,262.0,0.0,1.0,Over
17.0,31.0,54.8,151.0,1.0,4.0,Over
33.0,56.0,58.9,396.0,4.0,0.0,Over
25.0,38.0,65.8,285.0,1.0,3.0,Over
19.0,35.0,54.3,325.0,1.0,1.0,Under
18.0,36.0,50.0,195.0,1.0,1.0,Under
20.0,30.0,66.7,342.0,1.0,1.0,Over
8.0,22.0,36.4,100.0,0.0,2.0,Under
22.0,37.0,59.5,249.0,1.0,3.0,Over
20.0,31.0,64.5,194.0,1.0,1.0,Under
27.0,42.0,64.3,273.0,1.0,0.0,Over
26.0,38.0,68.4,238.0,2.0,0.0,Under
17.0,32.0,53.1,193.0,2.0,0.0,Under
24.0,34.0,70.6,327.0,3.0,1.0,Over
18.0,32.0,56.3,196.0,1.0,1.0,Under
11.0,24.0,45.8,192.0,0.0,2.0,Over
30.0,43.0,69.8,247.0,2.0,1.0,Over
20.0,33.0,60.6,192.0,2.0,1.0,Under
25.0,32.0,78.1,405.0,4.0,0.0,Over
26.0,30.0,86.7,269.0,3.0,1.0,Over
19.0,32.0,59.4,246.0,2.0,1.0,Under
22.0,33.0,66.7,223.0,0.0,1.0,Under
27.0,44.0,61.4,463.0,2.0,3.0,Over
28.0,40.0,70.0,278.0,0.0,0.0,Over
21.0,27.0,77.8,239.0,1.0,1.0,Under
22.0,35.0,62.9,257.0,3.0,1.0,Over
28.0,46.0,60.9,397.0,3.0,1.0,Over
29.0,46.0,63.0,444.0,3.0,0.0,Over
19.0,33.0,57.6,212.0,0.0,1.0,Under
32.0,49.0,65.3,355.0,2.0,1.0,Under
27.0,49.0,55.1,334.0,1.0,0.0,Over
15.0,23.0,65.2,212.0,2.0,0.0,Over
25.0,44.0,56.8,265.0,0.0,0.0,Under
21.0,31.0,67.7,268.0,1.0,0.0,Under
35.0,50.0,70.0,292.0,1.0,1.0,Under
20.0,29.0,69.0,213.0,0.0,1.0,Over
22.0,38.0,57.9,303.0,3.0,1.0,Over
14.0,20.0,70.0,182.0,1.0,1.0,Under
18.0,28.0,64.3,177.0,0.0,1.0,Under
21.0,34.0,61.8,213.0,0.0,0.0,Under
20.0,32.0,62.5,174.0,0.0,0.0,Under
18.0,28.0,64.3,134.0,2.0,1.0,Over
22.0,27.0,81.5,309.0,3.0,1.0,Over
18.0,40.0,45.0,208.0,0.0,1.0,Under
25.0,33.0,75.8,192.0,1.0,0.0,Over
27.0,45.0,60.0,385.0,3.0,0.0,Over
22.0,30.0,73.3,245.0,2.0,2.0,Under
18.0,32.0,56.3,201.0,1.0,0.0,Over
21.0,34.0,61.8,291.0,3.0,0.0,Over
18.0,32.0,56.3,265.0,0.0,0.0,Under
30.0,45.0,66.7,364.0,4.0,1.0,Over
25.0,32.0,78.1,342.0,3.0,1.0,Over
26.0,41.0,63.4,406.0,3.0,1.0,Over
18.0,30.0,60.0,203.0,1.0,0.0,Under
22.0,34.0,64.7,209.0,2.0,0.0,Under
17.0,29.0,58.6,235.0,1.0,0.0,Over
34.0,53.0,64.2,422.0,2.0,1.0,Over
22.0,34.0,64.7,238.0,0.0,0.0,Over
24.0,39.0,61.5,283.0,2.0,1.0,Under
25.0,31.0,80.6,429.0,5.0,0.0,Over
23.0,33.0,69.7,305.0,3.0,0.0,Over
23.0,35.0,65.7,161.0,1.0,0.0,Under
17.0,29.0,58.6,233.0,0.0,0.0,Under
20.0,33.0,60.6,104.0,1.0,0.0,Under
21.0,33.0,63.6,243.0,4.0,0.0,Over
18.0,28.0,64.3,195.0,1.0,0.0,Under
16.0,33.0,48.5,203.0,1.0,0.0,Under
26.0,40.0,65.0,216.0,0.0,1.0,Under
20.0,30.0,66.7,268.0,3.0,1.0,Over
16.0,29.0,55.2,159.0,0.0,0.0,Under
25.0,34.0,73.5,351.0,3.0,0.0,Under
21.0,33.0,63.6,160.0,0.0,0.0,Under
28.0,33.0,84.8,426.0,5.0,0.0,Over
30.0,42.0,71.4,280.0,1.0,2.0,Over
23.0,34.0,67.6,308.0,1.0,2.0,Over
27.0,39.0,69.2,279.0,3.0,0.0,Under
22.0,28.0,78.6,201.0,2.0,0.0,Under
18.0,29.0,62.1,169.0,0.0,1.0,Under
19.0,30.0,63.3,298.0,2.0,1.0,Under
18.0,25.0,72.0,234.0,3.0,0.0,Over
28.0,50.0,56.0,292.0,1.0,2.0,Over
19.0,27.0,70.4,243.0,2.0,2.0,Under
19.0,32.0,59.4,184.0,0.0,1.0,Under
21.0,27.0,77.8,190.0,2.0,0.0,Over
17.0,28.0,60.7,146.0,3.0,1.0,Under
28.0,37.0,75.7,310.0,2.0,0.0,Over
24.0,46.0,52.2,265.0,3.0,1.0,Over
18.0,29.0,62.1,151.0,0.0,1.0,Under
26.0,39.0,66.7,326.0,4.0,0.0,Over
15.0,25.0,60.0,202.0,0.0,0.0,Under
4.0,5.0,80.0,59.0,0.0,0.0,Over
15.0,24.0,62.5,148.0,1.0,1.0,Over
16.0,25.0,64.0,129.0,0.0,0.0,Under
25.0,40.0,62.5,319.0,1.0,2.0,Over
19.0,36.0,52.8,251.0,2.0,0.0,Over
18.0,34.0,52.9,165.0,0.0,0.0,Under
14.0,27.0,51.9,119.0,0.0,0.0,Under
22.0,25.0,88.0,275.0,2.0,1.0,Over
23.0,33.0,69.7,213.0,1.0,0.0,Under
20.0,30.0,66.7,204.0,2.0,0.0,Under
19.0,33.0,57.6,213.0,2.0,0.0,Over
26.0,44.0,59.1,374.0,2.0,0.0,Over
14.0,29.0,48.3,163.0,0.0,1.0,Under
22.0,34.0,64.7,279.0,3.0,0.0,Over
27.0,47.0,57.4,309.0,0.0,2.0,Under
16.0,27.0,59.3,147.0,1.0,1.0,Under
24.0,37.0,64.9,162.0,1.0,0.0,Over
17.0,29.0,58.6,201.0,2.0,0.0,Under
13.0,31.0,41.9,181.0,1.0,0.0,Under
25.0,33.0,75.8,378.0,3.0,0.0,Over
30.0,44.0,68.2,443.0,4.0,0.0,Under
27.0,37.0,73.0,374.0,3.0,0.0,Over
24.0,42.0,57.1,315.0,0.0,0.0,Over
22.0,39.0,56.4,321.0,1.0,0.0,Under
19.0,35.0,54.3,273.0,3.0,1.0,Over
10.0,11.0,90.9,76.0,1.0,0.0,Under
36.0,50.0,72.0,446.0,3.0,0.0,Over
19.0,32.0,59.4,182.0,1.0,1.0,Under
15.0,29.0,51.7,175.0,1.0,0.0,Under
26.0,40.0,65.0,283.0,1.0,1.0,Under
27.0,34.0,79.4,340.0,2.0,1.0,Under
23.0,33.0,69.7,251.0,2.0,0.0,Under
25.0,34.0,73.5,333.0,3.0,1.0,Over
21.0,36.0,58.3,293.0,0.0,1.0,Under
31.0,46.0,67.4,318.0,2.0,0.0,Under
24.0,30.0,80.0,310.0,2.0,0.0,Under
32.0,48.0,66.7,211.0,0.0,2.0,Under
26.0,44.0,59.1,320.0,2.0,2.0,Under
24.0,38.0,63.2,329.0,2.0,0.0,Over
19.0,29.0,65.5,201.0,1.0,1.0,Under
21.0,28.0,75.0,294.0,0.0,0.0,Under
17.0,31.0,54.8,207.0,2.0,3.0,Over
28.0,52.0,53.8,353.0,1.0,4.0,Under
20.0,29.0,69.0,265.0,2.0,1.0,Over
16.0,22.0,72.7,314.0,3.0,0.0,Over
28.0,39.0,71.8,307.0,1.0,3.0,Over
27.0,39.0,69.2,279.0,0.0,0.0,Under
23.0,39.0,59.0,186.0,1.0,1.0,Over
19.0,28.0,67.9,283.0,1.0,0.0,Under
24.0,38.0,63.2,268.0,2.0,2.0,Under
45.0,68.0,66.2,517.0,2.0,3.0,Over
29.0,49.0,59.2,395.0,1.0,1.0,Over
13.0,24.0,54.2,78.0,0.0,0.0,Under
22.0,37.0,59.5,268.0,2.0,0.0,Under
17.0,31.0,54.8,372.0,2.0,0.0,Under
22.0,41.0,53.7,243.0,0.0,2.0,Under
11.0,18.0,61.1,173.0,0.0,1.0,Under
26.0,37.0,70.3,212.0,0.0,2.0,Over
32.0,43.0,74.4,424.0,2.0,0.0,Under
22.0,31.0,71.0,293.0,2.0,2.0,Under
33.0,51.0,64.7,284.0,2.0,1.0,Over
27.0,46.0,58.7,323.0,2.0,1.0,Over
14.0,29.0,48.3,185.0,1.0,1.0,Over
11.0,21.0,52.4,89.0,0.0,3.0,Under
12.0,18.0,66.7,132.0,1.0,0.0,Under
23.0,35.0,65.7,282.0,1.0,1.0,Over
21.0,34.0,61.8,190.0,2.0,2.0,Under
24.0,36.0,66.7,288.0,3.0,0.0,Over
21.0,33.0,63.6,169.0,0.0,1.0,Under
32.0,45.0,71.1,323.0,0.0,0.0,Over
21.0,39.0,53.8,214.0,2.0,2.0,Over
27.0,39.0,69.2,365.0,3.0,1.0,Over
21.0,37.0,56.8,245.0,0.0,1.0,Under
23.0,41.0,56.1,279.0,2.0,0.0,Over
31.0,52.0,59.6,419.0,4.0,1.0,Over
8.0,10.0,80.0,98.0,1.0,0.0,Under
14.0,32.0,43.8,230.0,1.0,2.0,Under
15.0,21.0,71.4,174.0,1.0,0.0,Over
27.0,36.0,75.0,233.0,0.0,0.0,Under
22.0,27.0,81.5,306.0,2.0,0.0,Under
22.0,29.0,75.9,333.0,4.0,1.0,Over
24.0,34.0,70.6,338.0,4.0,0.0,Over
23.0,26.0,88.5,285.0,0.0,0.0,Under
19.0,38.0,50.0,220.0,3.0,0.0,Over
23.0,32.0,71.9,220.0,2.0,0.0,Over
29.0,35.0,82.9,319.0,3.0,0.0,Over
22.0,38.0,57.9,276.0,2.0,1.0,Over
24.0,30.0,80.0,242.0,1.0,0.0,Under
19.0,25.0,76.0,207.0,1.0,1.0,Over
16.0,31.0,51.6,122.0,1.0,1.0,Under
24.0,36.0,66.7,341.0,3.0,0.0,Under
20.0,28.0,71.4,264.0,2.0,0.0,Under
28.0,42.0,66.7,306.0,2.0,0.0,Over
